Cycle,District,Jurisdiction,Name,Path,Race,Station,NameSimpl,Party
2018,,Non-Candidate Issue Ads,Arizona Education Association,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Association,Red for Ed,KUTP,Arizona Education Association,Funding Public Ed
2018,,Non-Candidate Issue Ads,ARIZONA EDUCATION PROJECT,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA EDUCATION PROJECT,Red for Ed,KPHO-TV,ARIZONA EDUCATION PROJECT,Corporate Tax Breaks
2018,,Non-Candidate Issue Ads,AZ EDUCATION PROJECT,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/AZ EDUCATION PROJECT,Red for Ed,KTVK,ARIZONA EDUCATION PROJECT,Corporate Tax Breaks
2018,,Non-Candidate Issue Ads,AZ Education Project 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/AZ Education Project 2018,Red for Ed,KPNX,ARIZONA Education Project,Corporate Tax Breaks
2018,,Non-Candidate Issue Ads,Arizona Education Project,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Project,Red for Ed,KSAZ-TV,Arizona Education Project,Corporate Tax Breaks
2018,,Non-Candidate Issue Ads,Arizona Education Project,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Project,Red for Ed,KAZT-TV,Arizona Education Project,Corporate Tax Breaks
2018,,Non-Candidate Issue Ads,AZ For Affordable Electric 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/AZ For Affordable Electric 2018,Prop 127,KPNX,ARIZONA For Affordable Electric,No
2018,,Non-Candidate Issue Ads,AZ FOR FREEDOM,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/AZ FOR FREEDOM,Attorney General,KTVK,ARIZONA FOR FREEDOM,Republican
2018,,Non-Candidate Issue Ads,ARIZONA FOR FREEDOM,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA FOR FREEDOM,Attorney General,KPHO-TV,ARIZONA FOR FREEDOM,Republican
2018,,Non-Candidate Issue Ads,Arizona For Freedom,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/Arizona For Freedom,Attorney General,KUTP,Arizona For Freedom,Republican
2018,,Non-Candidate Issue Ads,Arizona For Freedom,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona For Freedom,Attorney General,KSAZ-TV,Arizona For Freedom,Republican
2018,,Non-Candidate Issue Ads,Arizona for Freedom,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona for Freedom,Attorney General,KNXV-TV,Arizona for Freedom,Republican
2018,,Non-Candidate Issue Ads,Arizona for Freedom 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/Arizona for Freedom 2018,Attorney General,KPNX,Arizona for Freedom,Republican
2018,,Non-Candidate Issue Ads,AZ REPUBLICAN PARTY,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/AZ REPUBLICAN PARTY,Senate,KTVK,ARIZONA REPUBLICAN PARTY,Republican
2018,,Non-Candidate Issue Ads,ARIZONA REPUBLICAN PARTY,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA REPUBLICAN PARTY,Senate,KPHO-TV,ARIZONA REPUBLICAN PARTY,Republican
2018,,Non-Candidate Issue Ads,Arizonans For Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/Arizonans For Affordable Electricity,Prop 127,KUTP,Arizonans For Affordable Electricity,No
2018,,Non-Candidate Issue Ads,Arizonans For Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Arizonans For Affordable Electricity,Prop 128,KSAZ-TV,Arizonans For Affordable Electricity,No
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,Prop 129,KASW,Arizonans for Affordable Electricity,No
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,Prop 130,KNXV-TV,Arizonans for Affordable Electricity,No
2018,,Non-Candidate Issue Ads,Chispa AZ PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC,GOTV,KAZT-TV,Chispa ARIZONA PAC,Vote
2018,,Non-Candidate Issue Ads,Chispa AZ PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC,GOTV,KNXV-TV,Chispa ARIZONA PAC,Vote
2018,,Non-Candidate Issue Ads,Chispa AZ Pac 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ Pac 2018,GOTV,KPNX,Chispa ARIZONA Pac,Vote
