Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,,Non-Candidate Issue Ads,WORKING FAMLIES PARTY IC,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/WORKING FAMLIES PARTY IC,,KPHO-TV
2018,,Non-Candidate Issue Ads,PATRIOT MAJORITY USA,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/PATRIOT MAJORITY USA,,KPHO-TV
2018,,Non-Candidate Issue Ads,SENATE MAJORITY PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/SENATE MAJORITY PAC,,KPHO-TV
2018,,Non-Candidate Issue Ads,ARIZONA FOR FREEDOM,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA FOR FREEDOM,,KPHO-TV
2018,,Non-Candidate Issue Ads,ARIZONA EDUCATION PROJECT,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA EDUCATION PROJECT,,KPHO-TV
2018,,Non-Candidate Issue Ads,MAJORITY FORWARD,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/MAJORITY FORWARD,,KPHO-TV
2018,,Non-Candidate Issue Ads,ONE NATION,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ONE NATION,,KPHO-TV
2018,,Non-Candidate Issue Ads,AFSCME PEOPLE AZ,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCME PEOPLE AZ,,KPHO-TV
2018,,Non-Candidate Issue Ads,MAJORITY FORWARD VOTE VETS PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/MAJORITY FORWARD VOTE VETS PAC,,KPHO-TV
2018,,Non-Candidate Issue Ads,US CHAMBER OF COMMERCE,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/US CHAMBER OF COMMERCE,,KPHO-TV
2018,,Non-Candidate Issue Ads,DAGA PEOPLES LAWYER PROJECT,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA PEOPLES LAWYER PROJECT,,KPHO-TV
2018,,Non-Candidate Issue Ads,HOUSE MAJORITY PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/HOUSE MAJORITY PAC,,KPHO-TV
2018,,Non-Candidate Issue Ads,ACLU,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ACLU,,KPHO-TV
2018,,Non-Candidate Issue Ads,DCCC,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,,KPHO-TV
2018,,Non-Candidate Issue Ads,45 COMMITTEE,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/45 COMMITTEE,,KPHO-TV
2018,,Non-Candidate Issue Ads,NRCC-IE,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/NRCC-IE,,KPHO-TV
2018,,Non-Candidate Issue Ads,ARIZONA REPUBLICAN PARTY,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA REPUBLICAN PARTY,,KPHO-TV
