Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,,Federal,Sinema for Senate - Primary,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Federal/US Senate/Sinema for Senate - Primary,,KNXV-TV
2018,,Local,Gallego Democrat Mayor,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Local/Gallego Democrat Mayor,,KNXV-TV
2018,,Local,Valenzuela Democrat Mayor,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Local/Valenzuela Democrat Mayor,,KNXV-TV
2018,,Non-Candidate Issue Ads,45 Committee,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/45 Committee,,KNXV-TV
2018,,Non-Candidate Issue Ads,ACLU AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/ACLU AZ,,KNXV-TV
2018,,Non-Candidate Issue Ads,AFSCMA People,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCMA People,,KNXV-TV
2018,,Non-Candidate Issue Ads,Arizona Education Association,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Association,,KNXV-TV
2018,,Non-Candidate Issue Ads,Arizona for Freedom,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona for Freedom,,KNXV-TV
2018,,Non-Candidate Issue Ads,Arizona Republican Party,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party,,KNXV-TV
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,,KNXV-TV
2018,,Non-Candidate Issue Ads,Chispa AZ PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC,,KNXV-TV
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy - GENERAL,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy - GENERAL,,KNXV-TV
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy - PRIMARY,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy - PRIMARY,,KNXV-TV
2018,,Non-Candidate Issue Ads,Clean Energy for a Healthy Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona,,KNXV-TV
2018,,Non-Candidate Issue Ads,DAGA Peoples Lawyers Project,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA Peoples Lawyers Project,,KNXV-TV
