Path,Result
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US House/Tom OHalleran/Post Log_O'Halleran for Congress_31829_10012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US House/Tom OHalleran/Post Log_O'Halleran for Congress_31830_10012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US House/Tom OHalleran/Post Log_O'Halleran for Congress_31881_10022018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US House/Tom OHalleran/Post Log_O'Halleran for Congress_31882_10022018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US House/Tom OHalleran/Post Log_O'Halleran for Congress_32173_10102018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US House/Tom OHalleran/Post Log_O'Halleran for Congress_32174_10102018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US House/Tom OHalleran/Post Log_O'Halleran for Congress_32236_10232018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US House/Tom OHalleran/Post Log_O'Halleran for Congress_32237_10232018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US House/Tom OHalleran/Post Log_O'Halleran for Congress_32298_11132018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US House/Tom OHalleran/Post Log_O'Halleran for Congress_32299_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/DSCC - Kyrsten Sinema/KAZT Contract_DSCC_Sinema for Arizona_32083_09242018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/DSCC - Kyrsten Sinema/KAZT Contract_DSCC_Sinema for Arizona_32359_10222018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/DSCC - Kyrsten Sinema/NAB Form_DSCC_Sinema for Arizona_11122018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/DSCC - Kyrsten Sinema/Post Log_DSCC_Sinema for Arizona_32083_10042018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/DSCC - Kyrsten Sinema/Post Log_DSCC_Sinema for Arizona_32359_11012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_30741_06152018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_30742_06152018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31190_07122018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31248_07192018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31263_07302018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31264_07302018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31266_07302018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31267_07302018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31307_07272018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31393_08032018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31462_08102018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31753_090720182018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31808_09122018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31836_09182018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_32175_10012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_32221_10042018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_32271_10102018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_32281_10102018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Sinema for Arizona_32346_10192018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Sinema for Arizona_32348_10192018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Sinema for Arizona_32425_10292018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Krysten Sinema_07242018-4.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Kyrsten Sinema_07192018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Kyrsten Sinema_07242018-2.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Kyrsten Sinema_07242018-3.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Kyrsten Sinema_07242018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Kyrsten Sinema_09252018-4.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Kyrsten Sinema_10232018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Kyrsten Sinema_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Kyrsten Sinema_10292018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Kyrsten Sinema_11022018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Logs_Kyrsten Sinema_31190_07232018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Logs_Kyrsten Sinema_31248_07312018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Logs_Kyrsten Sinema_31462_08202018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Logs_Kyrsten Sinema_31610_09072018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Logs_Kyrsten Sinema_31700_09182018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Logs_Kyrsten Sinema_31753_09202018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Logs_Kyrsten Sinema_31808_09202018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Logs_Kyrsten Sinema_31836_10012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Logs_Kyrsten Sinema_32175_10102018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Kyrsten Sinema_31263_10232018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_30741_11122018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/KAZT Contract_Kyrsten Sinema_31530_08162018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/NAB Form_Kyrsten Sinema_06152018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_30742_11122018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_31264_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_31266_11012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_31267_11082018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_31307_11122018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_31393_11122018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_31530_11122018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_32221_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_32271_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_32281_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_32346_11012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_32348_11012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Post Log_Sinema for Arizona_32425_11082018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_32380_10242018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_31333_0731208.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_31334_0731208.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_31589_08222018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_31592_08222018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_31735_09072018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_31737_09182018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_32316_10172018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_32317_10172018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_32353_10222018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_32354_10222018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_32379_10242018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_32381_10242018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/KAZT Contract_McSally for Senate_32382_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/NAB Form_McSally for Senate_07312018_KAZT.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/NAB Form_McSally for Senate_KAZT_10172018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/NAB Form_McSally for Senate_NAZT_10172018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_31333_11122018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_31334_11122018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_31589_09052018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_31592_09052018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_31735_09202018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_31737_09202018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_32316_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_32317_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_32353_11012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_32354_11022018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_32379_11012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_32380_11012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_32381_11012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Federal/US Senate/McSally for Senate/Post Log_McSally for Senate_32382_11012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCME People/KAZT Contract_AFSCME People_30785_10102018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCME People/KAZT Contract_AFSCME People_30793_10102018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCME People/NAB Form_AFSCME People_30793_10052018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCME People/Post Log_AFSCME People_30785_10232018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCME People/Post Log_AFSCME People_30793_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Project/KAZT Contract_Arizona Education Project_30695_06112018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Project/KAZT Contract_Arizona Education Project_30696_06112018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Project/NAB Form_Arizona Education Project_06112018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Project/Post Log_Arizona Education Project_30695_06202018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Project/Post Log_Arizona Education Project_30696_10262018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC/KAZT Contract_Chispa AZ PAC_32342_10192018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC/KAZT Contract_Chispa AZ PAC_32356_10222018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC/KAZT Contract_Chispa AZ PAC_32357_10222018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC/NAB Form_Chispa AZ PAC_10172018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC/Post Log_Chispa AZ PAC_32342_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC/Post Log_Chispa AZ PAC_32356_11012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC/Post Log_Chispa AZ PAC_32357_11082018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax/KAZT Contract_Citizens for Fair Tax_31335_08012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax/KAZT Contract_Citizens for Fair Tax_32136_10262018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax/KAZT Contract_Citizens for Fair Tax_32219_10042018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax/KAZT Contract_Citizens for Fair Tax_32323_10172018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax/NAB Form_Citizens for Fair Tax_08012018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax/Post Log_Citizens for Fair Tax_31335_10102018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax/Post Log_Citizens for Fair Tax_32136_10262018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax/Post Log_Citizens for Fair Tax_32219_10262018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax/Post Log_Citizens for Fair Tax_32323_11082018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/KAZT Contract_Clean Energy for a Healthy Arizona_31208_07052018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/KAZT Contract_Clean Energy for a Healthy Arizona_31209_10242018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/KAZT Contract_Clean Energy for a Healthy Arizona_31212_10262018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/KAZT Contract_Clean Energy for a Healthy Arizona_31213_10262018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/KAZT Contract_Clean Energy for a Healthy Arizona_31214_10262018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/NAB Form_Clean Energy for a Healthy Arizona.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Post Log_Clean Energy for a Healthy Arizona_31208_10022018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Post Log_Clean Energy for a Healthy Arizona_31209_10232018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Post Log_Clean Energy for a Healthy Arizona_31209_10252018.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona/Post Log_Clean Energy for a Healthy Arizona_31211_10102018.pdf,File not OCRd
