Cycle,District,Jurisdiction,Name,Path,Race,Station,Party,NameSimpl,MatchedName
2018,,State,Gallego for Mayor,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/State/Gallego for Mayor,Mayor,KASW,,Gallego  ,Gallego for Mayor
2018,,State,Governor,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/State/Governor,Governor,KASW,,,Governor
2018,,State,Katie Hobbs for Secretary of State,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/State/Katie Hobbs for Secretary of State,Secretary of State,KASW,,Katie Hobbs  ,Katie Hobbs for Secretary of State
2018,,Federal,DSCC Sinema for Senate,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Federal/US Senate/DSCC Sinema for Senate,Senate,KNXV-TV,Democrat, Sinema  ,Kyrsten Sinema
2018,,Federal,McSally Republican US Senate - General,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Federal/US Senate/McSally Republican US Senate - General,Senate,KNXV-TV,Republican,McSally    ,McSally for Senate
2018,,Federal,McSally Republican US Senate - Primary,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Federal/US Senate/McSally Republican US Senate - Primary,Senate,KNXV-TV,Republican,McSally    ,McSally for Senate
2018,,Federal,NRSC McSally,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Federal/US Senate/NRSC McSally,Senate,KNXV-TV,Republican, McSally,McSally for Senate
2018,,Federal,Sinema for Senate - General,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Federal/US Senate/Sinema for Senate - General,Senate,KNXV-TV,,Sinema     ,Kyrsten Sinema
2018,,Federal,Sinema for Senate - Primary,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Federal/US Senate/Sinema for Senate - Primary,Senate,KNXV-TV,,Sinema     ,Kyrsten Sinema
2018,,State,Gallego Democrat Mayor,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Local/Gallego Democrat Mayor,Mayor,KNXV-TV,Democrat,Gallego  ,Gallego for Mayor
2018,,State,Valenzuela Democrat Mayor,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Local/Valenzuela Democrat Mayor,Mayor,KNXV-TV,Democrat,Valenzuela  ,Valenzuela Democrat Mayor
2018,,Non-Candidate Issue Ads,45 Committee,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/45 Committee,,KNXV-TV,,45 Committee,45 Committe PAC
2018,,Non-Candidate Issue Ads,ACLU AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/ACLU AZ,,KNXV-TV,,American Civil Liberties Union ARIZONA,ACLU AZ
2018,,Non-Candidate Issue Ads,AFSCMA People,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCMA People,,KNXV-TV,,AFSCMA People,AFSCME People Pac
2018,,Non-Candidate Issue Ads,Arizona Education Association,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Association,,KNXV-TV,,Arizona Education Association,Arizona Education Association
2018,,Non-Candidate Issue Ads,Arizona for Freedom,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona for Freedom,,KNXV-TV,,Arizona for Freedom,Arizona for Freedom
2018,,Non-Candidate Issue Ads,Arizona Republican Party,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party,,KNXV-TV,Republican,Arizona Republican Party,Arizona Republican Party
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,,KNXV-TV,,Arizonans for Affordable Electricity,Arizonans for Affordable Electricity
2018,,Non-Candidate Issue Ads,Chispa AZ PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC,,KNXV-TV,,Chispa ARIZONA PAC,Chispa AZ PAC
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy - GENERAL,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy - GENERAL,,KNXV-TV,,Citizens for Fair Tax Policy   ,Citizens for Fair Tax Policy - GENERAL
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy - PRIMARY,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy - PRIMARY,,KNXV-TV,,Citizens for Fair Tax Policy   ,Citizens for Fair Tax Policy - GENERAL
2018,,Non-Candidate Issue Ads,Clean Energy for a Healthy Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona,,KNXV-TV,,Clean Energy for a Healthy Arizona,Clean Energy for a Healthy Arizona
2018,,Non-Candidate Issue Ads,DAGA Peoples Lawyers Project,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA Peoples Lawyers Project,Attorney General,KNXV-TV,Democrat, Democratic Attorneys General Association  Peoples Lawyers Project,DAGA Peoples Lawyers Project
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KNXV-TV,Democrat,Democratic Congressional Campaign Committee,DCCC
2018,,Non-Candidate Issue Ads,Defend Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Defend Arizona,,KNXV-TV,,Defend Arizona,Defend AZ
2018,,Non-Candidate Issue Ads,DSCC IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DSCC IE,Senate,KNXV-TV,Democrat,DSCC,DSCC
2018,,Non-Candidate Issue Ads,House Majority PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/House Majority PAC,House,KNXV-TV,,House Majority PAC,House Majority
2018,,Non-Candidate Issue Ads,Majority Forward,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Majority Forward,,KNXV-TV,,Majority Forward,MAJORITY FORWARD-VOTE VETS ACTION FUND
2018,,Non-Candidate Issue Ads,Majority Forward and Vote Vets Action Plan,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Majority Forward and Vote Vets Action Plan,,KNXV-TV,,Majority Forward and Vote Vets Action Plan,MAJORITY FORWARD-VOTE VETS ACTION FUND
2018,,Non-Candidate Issue Ads,NRCC IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/NRCC IE,House,KNXV-TV,Republican,NRCC,NRCC IE
2018,,Non-Candidate Issue Ads,NRSC IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/NRSC IE,Senate,KNXV-TV,Republican,NRSC,NRSC
2018,,Non-Candidate Issue Ads,One Nation AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/One Nation AZ,,KNXV-TV,,One Nation ARIZONA,One Nation
2018,,Non-Candidate Issue Ads,Patriot Majority USA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Patriot Majority USA,,KNXV-TV,,Patriot Majority USA,Patriot Majority
2018,,Non-Candidate Issue Ads,Red and Gold,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Red and Gold,,KNXV-TV,,Red and Gold,Red and Gold
2018,,Non-Candidate Issue Ads,Republican Governors Association,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Republican Governors Association,Governor,KNXV-TV,Republican,Republican Governors Association,Republican Governors Association
2018,,Non-Candidate Issue Ads,RGA Arizona PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/RGA Arizona PAC,Governor,KNXV-TV,Republican,Republican Governors Association Arizona PAC,Republican Governors Association
2018,,Non-Candidate Issue Ads,Save Native American Families - No on Prop 127,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Save Native American Families - No on Prop 127,,KNXV-TV,,Save Native American Families   No on Prop 127,Save Native American Families - No on Prop 127
2018,,Non-Candidate Issue Ads,Senate Majority PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Senate Majority PAC,Senate,KNXV-TV,,Senate Majority PAC,Senate Majority
2018,,Non-Candidate Issue Ads,Tax March,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Tax March,,KNXV-TV,,Tax March,Tax March
2018,,Non-Candidate Issue Ads,US Chamber of Commerce,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/US Chamber of Commerce,,KNXV-TV,,US Chamber of Commerce,US Chamber of Commerce
2018,,Non-Candidate Issue Ads,Working Families Party IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Working Families Party IE,,KNXV-TV,,Working Families Party,Working Families Party IE
2018,,State,Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION,Attorney General,KNXV-TV,Democrat,    Contreras   ,Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION
2018,,State,Arizona Democratic Party - Hobbs for AZ Secretary of State - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Arizona Democratic Party - Hobbs for AZ Secretary of State - GENERAL ELECTION,Secretary of State,KNXV-TV,Democrat,    Hobbs    ,Katie Hobbs for Secretary of State
2018,,State,Arizona Republican Party - Mark Brnovich for AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Arizona Republican Party - Mark Brnovich for AZ,,KNXV-TV,Republican,    Mark Brnovich  ,Arizona Republican Party - Mark Brnovich for AZ
2018,,State,Arizona Republican Party Ducey - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Arizona Republican Party Ducey - GENERAL ELECTION,,KNXV-TV,Republican,  Ducey ,D DUCEY AZRP
