Path,Result
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114925-1.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114925.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114931-1.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114931.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114947-1.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114947.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114953-1.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26115882-1 Invoice.pdf,invoices Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26115882.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26122540-1 Invoice.pdf,invoices Scraping Error
